,Susceptible,Infected,Recovered,Dead
239,9578.801859582374,52399.28209330521,22755.054543615825,15266.861503496524
240,92199.7799755071,6313.9160126708975,1460.5147096506864,25.789302171449137
241,25801.17914170324,53782.87176732168,20007.62750610074,408.321584874357
242,19114.246851691973,52627.96863482039,27433.518065768796,824.266447718766
243,18234.929198126425,52436.85231425643,28255.186367890194,1073.0321197271096
244,16133.61778379999,53833.089919720565,28788.28493634861,1245.007360131115
245,14140.221908249898,55154.53850828505,29331.629902373046,1373.6096810919419
246,12539.910793339846,56177.812854617805,29808.645240355847,1473.631111686612
247,11267.732050198952,56973.1822723131,30205.504959411985,1553.580718075964
248,91983.12573032193,6481.301413824247,1482.7355062606446,52.837349593227465
249,25477.305421241508,53793.33137789112,19906.33603966391,823.0271612034587
250,18911.969847481465,52346.003418103806,27092.265560206357,1649.7611742085044
251,18034.123213670915,51996.69385925733,27826.643528774188,2142.5393982976666
252,15963.168475422692,53260.04142033289,28294.38167379333,2482.408430451097
253,13995.5940114172,54483.246493372644,28784.99701647704,2736.162478733228
254,12413.197238599327,55433.09737862846,29220.381789223764,2933.3235935483194
255,11154.181829049074,56170.94125546654,29584.068332885905,3090.8085825983603
256,91761.51172381257,6652.294721129368,1505.0085935985812,81.18496145956794
257,25156.732156222144,53798.06554549055,19801.144117483404,1244.0581808038035
258,18709.725917515603,52062.545478742875,26751.326911044194,2476.401692697261
259,17833.609476632166,51557.18244274264,27400.739996217373,3208.4680844077193
260,15792.839336820749,52689.89194293297,27805.076848417295,3712.191871829015
261,13851.029211588284,53816.682817850444,28244.596245003242,4087.6917255579738
262,12286.565463837911,54694.61135013902,28639.67069909479,4379.152486928226
263,11040.731269064854,55376.207783274534,28971.264654316612,4611.796293343897
264,91534.86543363598,6826.939052685167,1527.3216609068866,110.87385277189584
265,24839.390871163734,53797.14915020058,19692.10509623914,1671.3548823966537
266,18507.522628681843,51777.62797893646,26410.743357079216,3304.106035302484
267,17633.38825447237,51118.35084044967,26977.495613263927,4270.765291814056
268,15622.629511062678,52122.65842623719,27320.36488809258,4934.347174607635
269,13706.524984038759,53154.84674222762,27710.39693410786,5428.231339625779
270,12160.012174974496,53962.33581026883,28066.458925256335,5811.19308950028
271,10927.377382035944,54588.9451709006,28367.021003758236,6116.656443305417
272,91303.11503560477,7005.276461951885,1549.6618640346737,141.94663840868606
273,24525.213814813946,53790.65676896255,19579.273079079987,2104.85633714337
274,18305.367488324675,51491.28405435924,26070.555699004435,4132.792758311811
275,17433.459853974822,50680.23145789232,26556.929692097652,5329.378996035096
276,15452.538187040265,51558.357401347654,26840.23976173039,6148.864649881789
277,13562.078821135316,52497.73720854707,27182.36815602662,6757.815814291031
278,12033.534049430156,53236.25163090106,27500.69337349345,7229.520946175067
279,10814.11712026584,53809.11671928656,27771.264648504053,7605.501511943635
280,91066.18949797872,7187.347850113058,1572.0158155014312,174.44683640711648
281,24214.13400697616,53778.66263305466,19462.702866701587,2544.500493267488
282,18103.2679445004,51203.546809282314,25730.804298888717,4962.380947328663
283,17233.824622277752,50242.85632982339,26139.061016947202,6384.258030951759
284,15282.564600848695,50997.00499337157,26364.69498502285,7355.735420757039
285,13417.688234342702,51845.35284262025,26660.478714944056,8076.480208092959
286,11907.127737713014,52516.339517455875,26942.320904784327,8634.211840046852
287,10700.947376901313,53036.68571850237,27183.923046102045,9078.443858494253
288,90824.01867842973,7373.19287633641,1594.369574818166,208.41887041588518
289,23906.08528144453,53761.240588981906,19342.4499098123,2990.224219761224
290,17901.231386323507,50914.4493117063,25391.52907968756,5792.790222282667
291,17034.482947909113,49806.25711973922,25723.907847042665,7435.352085308932
292,15112.70803719106,50438.61692303906,25893.72362618091,8554.951413589059
293,13273.350756284412,51197.691956217,26144.697152832294,9384.260134666274
294,11780.789865094028,51802.58001157771,26391.288339948638,10025.341783379672
295,10587.86498635595,52271.61545100637,26604.923847309838,10535.59571532813
