,P11,P13,P21,P23,M1,M2
193,0.31,0.02,0.1,0.1,98163.72992455776,92.56355279816901
194,0.32,0.02,0.1,0.1,98222.49390945601,86.30940542748495
195,0.33,0.02,0.1,0.1,98277.54854148073,80.67794374662395
196,0.34,0.02,0.1,0.1,98329.24008848576,75.58895949199271
197,0.35000000000000003,0.02,0.1,0.1,98377.91418840618,70.93782991492384
198,0.36,0.02,0.1,0.1,98423.75527272289,66.74061270707486
199,0.37,0.02,0.1,0.1,98467.04016044024,62.91320919825718
200,0.38,0.02,0.1,0.1,98508.02005659045,59.37746088039587
201,0.39,0.02,0.1,0.1,98546.83923853963,56.135683885789774
202,0.4,0.02,0.1,0.1,98583.63465848894,53.18430315505454
203,0.41000000000000003,0.02,0.1,0.1,98618.62590705915,50.43476483057937
204,0.42,0.02,0.1,0.1,98651.91267616747,47.89550124284399
205,0.43,0.02,0.1,0.1,98683.61801410688,45.54534314523813
206,0.44,0.02,0.1,0.1,98713.85319021922,43.36579892836246
207,0.45,0.02,0.1,0.1,98742.71910093144,41.34064943518951
208,0.46,0.02,0.1,0.1,98770.30747031934,39.455617472973984
209,0.47000000000000003,0.02,0.1,0.1,98796.70188032233,37.69809668936996
210,0.48,0.02,0.1,0.1,98821.97865830522,36.05692844824216
211,0.49,0.02,0.1,0.1,98846.22996852291,34.50197521024256
212,0.5,0.02,0.1,0.1,98869.47645657003,33.06375128784064
213,0.51,0.02,0.1,0.1,98891.79852607271,31.714876519840217
214,0.52,0.02,0.1,0.1,98913.2503219114,30.448338345181817
215,0.53,0.02,0.1,0.1,98933.90103658912,29.240282421642284
216,0.54,0.02,0.1,0.1,98953.7606120468,28.118021650282166
217,0.55,0.02,0.1,0.1,98972.8890413859,27.060688508639554
218,0.56,0.02,0.1,0.1,98991.343420035,26.047616099167207
219,0.5700000000000001,0.02,0.1,0.1,99009.12816732518,25.104168141819315
220,0.58,0.02,0.1,0.1,99026.3071477651,24.19931544369284
221,0.59,0.02,0.1,0.1,99042.8855795342,23.35394913802896
222,0.6,0.02,0.1,0.1,99058.91791268812,22.542115125817663
223,0.61,0.02,0.1,0.1,99074.40916175426,21.781724558701345
224,0.62,0.02,0.1,0.1,99089.40666480457,21.050345366802297
225,0.63,0.02,0.1,0.1,99103.9145772786,20.363984890490244
226,0.64,0.02,0.1,0.1,99117.9748776651,19.70257845987397
227,0.65,0.02,0.1,0.1,99131.59039523029,19.081053560211082
228,0.66,0.02,0.1,0.1,99144.7991466946,18.480800267892505
229,0.67,0.02,0.1,0.1,99157.60224703891,17.916353617791515
230,0.68,0.02,0.1,0.1,99170.03493759061,17.369773217936704
231,0.6900000000000001,0.02,0.1,0.1,99182.10384157301,16.848775967792186
232,0.7000000000000001,0.02,0.1,0.1,99193.81966472967,16.35654174540705
233,0.71,0.02,0.1,0.1,99205.20981413459,15.880016849335995
234,0.72,0.02,0.1,0.1,99216.28100003494,15.424683645825594
235,0.73,0.02,0.1,0.1,99227.04261665723,14.992916242260925
236,0.74,0.02,0.1,0.1,99237.51664952234,14.574777474370144
237,0.75,0.02,0.1,0.1,99247.7093915061,14.174382405035935
238,0.76,0.02,0.1,0.1,99257.62897240756,13.79363084898622
239,0.77,0.02,0.1,0.1,99267.29353648839,13.424594260253972
240,0.78,0.02,0.1,0.1,99276.70872426887,13.070554136504564
241,0.79,0.02,0.1,0.1,99285.88149003654,12.733149016106765
242,0.8,0.02,0.1,0.1,99294.82721998225,12.405732322489147
243,0.0,0.03,0.1,0.1,3502.3921707633845,72688.71881572109
244,0.01,0.03,0.1,0.1,4024.407134731275,72248.06923776734
245,0.02,0.03,0.1,0.1,4729.254932533702,71653.18230992251
246,0.03,0.03,0.1,0.1,5733.291262226277,70805.99634710427
247,0.04,0.03,0.1,0.1,7278.408547466325,69502.74213150595
248,0.05,0.03,0.1,0.1,9962.322886163678,67240.41135549682
249,0.06,0.03,0.1,0.1,15766.75530679493,62354.297106468344
250,0.07,0.03,0.1,0.1,36464.781377235304,45013.53151319696
251,0.08,0.03,0.1,0.1,,
252,0.09,0.03,0.1,0.1,85992.5010090662,5048.160054347697
253,0.1,0.03,0.1,0.1,89064.48749472194,3068.605253158764
254,0.11,0.03,0.1,0.1,90781.57710051237,2120.3512940560386
255,0.12,0.03,0.1,0.1,91928.37835834727,1574.2987564129428
256,0.13,0.03,0.1,0.1,92771.22738104899,1224.574243815654
257,0.14,0.03,0.1,0.1,93427.90019537513,984.4094529822987
258,0.15,0.03,0.1,0.1,93959.67704089024,811.1644321008358
259,0.16,0.03,0.1,0.1,94402.3929022142,681.4012805160522
260,0.17,0.03,0.1,0.1,94778.621205981,581.3108686374067
261,0.18,0.03,0.1,0.1,95103.31274059162,502.39697862767713
262,0.19,0.03,0.1,0.1,95387.26780918107,438.84031812906454
263,0.2,0.03,0.1,0.1,95638.09286451936,386.8907253291089
264,0.21,0.03,0.1,0.1,95861.60487297495,343.82717100152684
265,0.22,0.03,0.1,0.1,96062.27141152068,307.690914311225
266,0.23,0.03,0.1,0.1,96243.53184857908,277.093693886367
267,0.24,0.03,0.1,0.1,96408.30774444966,250.84305325765627
268,0.25,0.03,0.1,0.1,96558.67546562181,228.27118903209202
269,0.26,0.03,0.1,0.1,96696.67060973709,208.58097406761738
270,0.27,0.03,0.1,0.1,96823.6576188499,191.41850343433362
271,0.28,0.03,0.1,0.1,96941.03757651073,176.28526750131329
272,0.29,0.03,0.1,0.1,97049.84393176319,162.9067492981174
273,0.3,0.03,0.1,0.1,97151.05367102059,150.97759063573503
274,0.31,0.03,0.1,0.1,97245.36484999322,140.36829563179157
275,0.32,0.03,0.1,0.1,97333.55850541829,130.81883728423426
276,0.33,0.03,0.1,0.1,97416.18245142064,122.22405163850247
277,0.34,0.03,0.1,0.1,97493.75752943406,114.45998206435185
278,0.35000000000000003,0.03,0.1,0.1,97566.73992103647,107.42273610498022
279,0.36,0.03,0.1,0.1,97635.53099675404,101.02477663725375
280,0.37,0.03,0.1,0.1,97700.5278441849,95.15421462761158
281,0.38,0.03,0.1,0.1,97761.96518291088,89.81899232330973
282,0.39,0.03,0.1,0.1,97820.20327911011,84.8938344743234
283,0.4,0.03,0.1,0.1,97875.4533114312,80.36730539084739
284,0.41000000000000003,0.03,0.1,0.1,97927.910249236,76.22594107580588
285,0.42,0.03,0.1,0.1,97977.84635883645,72.3721025057848
286,0.43,0.03,0.1,0.1,98025.40984330975,68.80608589430923
287,0.44,0.03,0.1,0.1,98070.76764365914,65.4996872410008
288,0.45,0.03,0.1,0.1,98114.07115963244,62.42815441049632
289,0.46,0.03,0.1,0.1,98155.45804469791,59.56968714181286
290,0.47000000000000003,0.03,0.1,0.1,98195.05374881768,56.905024849288935
291,0.48,0.03,0.1,0.1,98232.99676794982,54.3954095241709
292,0.49,0.03,0.1,0.1,98269.34493352569,52.06832004562335
293,0.5,0.03,0.1,0.1,98304.21804231935,49.88886206922777
294,0.51,0.03,0.1,0.1,98337.7044775264,47.84497263934923
295,0.52,0.03,0.1,0.1,98369.88557029981,45.9258826330143
296,0.53,0.03,0.1,0.1,98400.8575523405,44.102541284403074
297,0.54,0.03,0.1,0.1,98430.6498011873,42.40268037557402
298,0.55,0.03,0.1,0.1,98459.36222500962,40.78575235896412
299,0.56,0.03,0.1,0.1,98487.02352881838,39.27277108494353
300,0.5700000000000001,0.03,0.1,0.1,98513.70335459163,37.844063349722795
301,0.58,0.03,0.1,0.1,98539.46899750644,36.47906918337072
302,0.59,0.03,0.1,0.1,98564.33902410022,35.19924805394383
303,0.6,0.03,0.1,0.1,98588.38519355073,33.974680078065994
304,0.61,0.03,0.1,0.1,98611.62420404468,32.8237737952876
305,0.62,0.03,0.1,0.1,98634.11844582552,31.720734889908854
306,0.63,0.03,0.1,0.1,98655.88228888366,30.682060215396923
307,0.64,0.03,0.1,0.1,98676.97092141393,29.684764289175526
308,0.65,0.03,0.1,0.1,98697.39608649188,28.744301668498444
309,0.66,0.03,0.1,0.1,98717.20750109406,27.839457592753085
310,0.67,0.03,0.1,0.1,98736.42217973365,26.977816382556334
311,0.68,0.03,0.1,0.1,98755.06139079454,26.16170359482828
312,0.6900000000000001,0.03,0.1,0.1,98773.1635983316,25.37623641685358
