,percentage_extremists,uncertainty_moderate,uncertainty_extremists,relative_difference_positive_negative_extrimists,intensity_interaction,embedding
896,0.3,0.2,0.05,0.0,0.1,0.15243952292155408
897,0.05,0.2,0.1,0.3,0.5,0.12382710520938738
898,0.025,1.2,0.1,0.1,0.2,133.9086957090009
899,0.15,1.8,0.1,0.1,0.1,8.485267048232016
900,0.05,0.4,0.2,0.1,0.5,0.4150639840309227
901,0.3,2.0,0.2,0.0,0.3,35.38742044805819
902,0.3,1.0,0.1,0.5,0.3,8.072387471725497
903,0.1,1.8,0.05,0.3,0.5,18.31849920987029
904,0.1,0.8,0.15,0.5,0.2,57.61214511722323
905,0.025,2.0,0.05,0.4,0.5,11.795660965106668
906,0.3,1.8,0.1,0.4,0.3,8.294505764147305
907,0.2,0.6000000000000001,0.1,0.1,0.1,2.8170395579653897
908,0.15,0.2,0.05,0.5,0.1,0.15517371066870303
909,0.25,1.8,0.05,0.4,0.1,6.989380534082117
910,0.25,0.8,0.15,0.5,0.5,11.055657523614626
911,0.15,0.8,0.2,0.4,0.2,22.99673599311334
912,0.05,1.6,0.2,0.2,0.3,80.2593573624603
913,0.25,0.6000000000000001,0.15,0.5,0.4,9.195210937825939
914,0.2,0.4,0.15,0.1,0.2,0.6229070444514504
915,0.025,0.2,0.2,0.2,0.5,0.11763883754736562
916,0.2,0.2,0.2,0.2,0.1,0.0966216615745494
917,0.3,0.4,0.05,0.4,0.2,0.618802017125912
918,0.2,1.0,0.1,0.2,0.1,33.002472575693
919,0.025,2.0,0.1,0.0,0.1,51.094722582869196
920,0.05,1.4,0.05,0.5,0.5,47.7528085972905
921,0.025,2.0,0.1,0.1,0.5,22.61942575492071
922,0.3,1.8,0.05,0.1,0.4,34.84739898303508
923,0.3,1.6,0.05,0.0,0.4,98.43637180623546
924,0.025,1.8,0.1,0.3,0.3,42.036686712520066
925,0.3,2.0,0.1,0.1,0.4,14.956068632908927
926,0.25,0.8,0.05,0.2,0.2,21.473840433244412
927,0.3,1.6,0.05,0.1,0.4,172.72520110324822
928,0.3,1.2,0.1,0.2,0.5,15.750045716485548
929,0.05,0.2,0.2,0.4,0.2,0.1145953206401323
930,0.05,1.6,0.2,0.0,0.4,60.90571248116795
931,0.05,0.4,0.15,0.2,0.5,0.34312108793042306
932,0.25,1.8,0.1,0.4,0.2,7.681555801775759
933,0.025,0.6000000000000001,0.2,0.4,0.3,0.46497647442802414
934,0.1,1.8,0.2,0.1,0.4,62.06564035540696
935,0.1,0.6000000000000001,0.2,0.4,0.2,0.611373436054839
936,0.3,1.0,0.2,0.4,0.5,11.670054757514583
937,0.25,1.0,0.1,0.5,0.2,11.014230584633191
938,0.15,0.8,0.15,0.3,0.2,38.60703023337429
939,0.2,0.2,0.15,0.5,0.1,0.12812565919229785
940,0.2,0.6000000000000001,0.05,0.4,0.1,22.52861628814935
941,0.25,1.0,0.15,0.3,0.3,18.2600720539196
942,0.1,1.4,0.1,0.4,0.5,20.696686103115404
943,0.25,0.6000000000000001,0.2,0.1,0.4,174.02515462804246
944,0.025,0.2,0.15,0.1,0.2,0.13882971553342371
945,0.3,1.8,0.05,0.4,0.4,5.483387059037674
946,0.25,1.2,0.2,0.3,0.2,21.14431622203469
947,0.25,1.2,0.2,0.2,0.1,25.88178521449544
948,0.05,0.6000000000000001,0.2,0.0,0.2,1.0043524810732962
949,0.2,1.4,0.2,0.3,0.5,11.835695806306692
950,0.15,1.0,0.05,0.0,0.1,69.33468838808153
951,0.25,2.0,0.2,0.3,0.1,10.068822819504287
952,0.25,1.0,0.1,0.3,0.2,20.93673666129891
953,0.25,0.8,0.15,0.0,0.5,76.94313884486283
954,0.05,0.8,0.2,0.2,0.3,58.60692592446493
955,0.025,0.6000000000000001,0.1,0.2,0.4,0.41035401702710117
956,0.025,0.2,0.15,0.2,0.3,0.14221741088625267
957,0.05,1.2,0.05,0.0,0.1,78.57878626620985
958,0.025,1.8,0.05,0.1,0.5,75.69072765804121
959,0.25,0.6000000000000001,0.15,0.1,0.2,53.420295193735186
960,0.025,1.0,0.1,0.1,0.4,142.17034997537243
961,0.2,1.8,0.1,0.5,0.4,12.480496292207285
962,0.3,0.8,0.15,0.5,0.3,8.19595134848684
963,0.15,1.8,0.1,0.3,0.1,15.338415182362661
964,0.3,0.2,0.15,0.1,0.1,0.098904305217767
965,0.25,1.6,0.15,0.5,0.2,8.38907055731025
966,0.025,0.2,0.05,0.5,0.1,0.0971285599020039
967,0.1,1.2,0.15,0.4,0.1,34.82183075265167
968,0.3,0.6000000000000001,0.05,0.3,0.5,15.943582480571832
969,0.1,0.4,0.05,0.5,0.2,0.2949481867661905
970,0.2,2.0,0.2,0.2,0.4,90.8092977436864
971,0.3,0.8,0.2,0.2,0.1,61.166382709370296
972,0.3,0.2,0.2,0.2,0.5,0.11610591906309416
973,0.05,0.8,0.05,0.1,0.2,1386.621003278333
974,0.05,0.6000000000000001,0.15,0.1,0.1,0.46717519239593364
975,0.1,0.2,0.1,0.3,0.4,0.13087858624084217
976,0.1,2.0,0.1,0.0,0.2,87.83318254869282
977,0.15,0.6000000000000001,0.05,0.4,0.5,2.3160339152609053
978,0.025,1.4,0.2,0.5,0.5,110.12114481177514
979,0.15,1.0,0.2,0.5,0.5,19.505615845881973
980,0.25,1.0,0.2,0.4,0.4,17.192320335193468
981,0.1,1.0,0.1,0.0,0.3,1517.5904639212326
982,0.05,0.2,0.15,0.2,0.4,0.12940022926983474
983,0.2,1.6,0.15,0.1,0.3,202.3753951991123
984,0.1,1.0,0.2,0.4,0.5,36.782567699652766
985,0.25,2.0,0.1,0.0,0.3,96.09055214819467
986,0.15,0.8,0.15,0.2,0.1,46.78732797711109
987,0.025,2.0,0.15,0.5,0.1,232.50937560447764
988,0.3,0.2,0.05,0.0,0.3,0.147179381722688
989,0.1,2.0,0.15,0.0,0.4,32.752000193988984
990,0.1,1.2,0.15,0.2,0.4,63.00348388022111
991,0.25,1.0,0.15,0.2,0.4,15.370935662761998
992,0.15,0.4,0.05,0.4,0.4,0.645422858394323
993,0.15,1.6,0.15,0.1,0.4,80.47894081762466
994,0.2,1.4,0.2,0.0,0.3,51.3630920822135
995,0.3,1.0,0.2,0.1,0.4,65.13148462054765
996,0.2,1.4,0.1,0.5,0.1,8.890661375298547
997,0.3,0.6000000000000001,0.2,0.0,0.1,6.344773910802051
998,0.2,0.2,0.05,0.0,0.2,0.17340740861693263
999,0.025,0.6000000000000001,0.05,0.3,0.1,0.5070849333246419
1000,0.025,0.6000000000000001,0.2,0.2,0.4,0.4867862209468663
1001,0.1,0.8,0.05,0.1,0.3,248.35195369011203
1002,0.3,1.0,0.15,0.4,0.1,12.060470051850135
1003,0.025,0.4,0.15,0.0,0.3,0.3746708320661383
1004,0.15,1.4,0.05,0.0,0.4,139.09186787599805
1005,0.15,0.2,0.05,0.1,0.5,0.15332446365053456
1006,0.025,0.4,0.1,0.3,0.2,0.27052910199844643
1007,0.05,0.4,0.1,0.1,0.4,0.43244735710827614
1008,0.25,1.4,0.15,0.5,0.3,6.900576262517307
1009,0.1,0.6000000000000001,0.2,0.3,0.3,0.6155832806973435
1010,0.2,1.0,0.05,0.0,0.1,154.4720964158817
1011,0.05,1.2,0.2,0.1,0.5,2450.4516871960277
1012,0.05,0.4,0.1,0.2,0.3,0.26244439614467685
1013,0.3,2.0,0.05,0.0,0.5,24.93795118430404
1014,0.1,0.4,0.1,0.4,0.4,0.5100621639257937
1015,0.25,1.8,0.2,0.2,0.1,15.550561554004153
1016,0.025,0.6000000000000001,0.05,0.2,0.3,0.5153433445390934
1017,0.1,1.0,0.15,0.1,0.2,1966.0999899705112
1018,0.025,0.6000000000000001,0.15,0.5,0.1,0.7862271021267114
1019,0.25,1.2,0.15,0.5,0.4,9.946379663673408
1020,0.025,1.4,0.1,0.3,0.1,42.1190878866162
1021,0.1,0.8,0.2,0.1,0.1,38.61995597941137
1022,0.15,0.8,0.2,0.2,0.2,39.09965914748404
1023,0.25,2.0,0.15,0.4,0.2,13.93280748852109
1024,0.3,0.2,0.15,0.5,0.1,0.12337590999938106
1025,0.1,0.2,0.2,0.2,0.5,0.1343413940893277
1026,0.2,2.0,0.1,0.5,0.5,5.6496804472860545
1027,0.25,0.4,0.1,0.3,0.2,0.6768016335718572
1028,0.2,0.2,0.1,0.3,0.5,0.09959757444962473
1029,0.25,0.2,0.2,0.1,0.2,0.08758670123725758
1030,0.05,0.6000000000000001,0.15,0.4,0.4,1.0896163817598687
1031,0.25,1.6,0.05,0.3,0.4,29.173342221242507
1032,0.1,0.8,0.15,0.3,0.3,67.45087091622631
1033,0.05,0.8,0.15,0.0,0.4,119.997815598546
1034,0.1,2.0,0.2,0.5,0.3,12.144718649766922
1035,0.15,0.8,0.2,0.0,0.1,160.08914249536733
1036,0.05,0.2,0.1,0.0,0.3,0.12271228552380736
1037,0.05,0.8,0.1,0.2,0.2,225.69663878528988
1038,0.2,1.6,0.15,0.5,0.5,6.899559386443781
1039,0.1,1.2,0.15,0.3,0.1,33.918702890190445
1040,0.025,1.6,0.1,0.1,0.2,66.03791060959624
1041,0.15,2.0,0.1,0.2,0.4,18.79748840679959
1042,0.25,1.6,0.05,0.2,0.3,19.681550461110426
1043,0.2,0.8,0.2,0.2,0.4,69.9214782476956
1044,0.2,0.4,0.2,0.3,0.3,0.5358859251861151
1045,0.3,1.8,0.05,0.2,0.2,65.73944687526442
1046,0.025,0.6000000000000001,0.15,0.1,0.2,1.001350847153336
