,percentage_extremists,uncertainty_moderate,uncertainty_extremists,relative_difference_positive_negative_extrimists,intensity_interaction,embedding
142,0.1,0.6000000000000001,0.2,0.3,0.4,0.5111743532879373
143,0.3,2.0,0.05,0.1,0.4,29.00524490606484
144,0.2,2.0,0.05,0.0,0.1,29.98816794604904
145,0.1,1.6,0.05,0.5,0.2,16.663017328791483
146,0.1,1.8,0.1,0.1,0.3,75.3779339554916
147,0.25,1.8,0.15,0.4,0.2,5.896075893335446
148,0.15,1.0,0.1,0.2,0.2,31.357863998179607
149,0.05,2.0,0.1,0.3,0.4,29.57864544668361
150,0.1,0.8,0.05,0.5,0.2,30.311036651563395
151,0.15,1.2,0.2,0.0,0.5,3788.1695177639494
152,0.025,2.0,0.05,0.5,0.5,31.70615326007708
153,0.025,0.4,0.1,0.1,0.3,0.428380148595033
154,0.1,0.6000000000000001,0.15,0.4,0.1,1.0694289049623797
155,0.3,0.8,0.1,0.0,0.4,1303.8191250529503
156,0.2,1.4,0.2,0.2,0.5,28.016453516790833
157,0.025,0.6000000000000001,0.05,0.3,0.3,0.9080650495032547
158,0.1,0.4,0.1,0.2,0.2,0.3793101543038932
159,0.025,0.6000000000000001,0.1,0.1,0.4,0.4577588068232508
160,0.05,0.6000000000000001,0.15,0.0,0.1,0.47413246314530305
161,0.025,0.6000000000000001,0.1,0.4,0.1,0.41524700503603235
162,0.05,0.2,0.15,0.5,0.5,0.15545924819443024
163,0.3,1.0,0.1,0.1,0.3,49.091428259700365
164,0.15,2.0,0.1,0.0,0.3,78.59747750390184
165,0.1,1.2,0.1,0.1,0.4,802.8342294127344
166,0.025,0.4,0.2,0.0,0.5,0.3058160340798169
167,0.025,1.6,0.2,0.4,0.4,38.78579328366815
168,0.3,1.6,0.1,0.2,0.5,19.827675553839104
169,0.025,1.8,0.15,0.4,0.3,31.06465019609172
170,0.05,0.8,0.2,0.4,0.5,78.16651521857814
171,0.15,0.4,0.2,0.3,0.3,0.46863933684773945
172,0.3,1.2,0.05,0.2,0.5,20.956576513587997
173,0.05,2.0,0.05,0.4,0.1,17.21554783216146
174,0.3,1.8,0.15,0.5,0.4,4.284112820284382
175,0.15,0.4,0.15,0.3,0.3,0.32581290837977267
176,0.15,1.2,0.05,0.1,0.3,200.06500101999308
177,0.05,1.8,0.15,0.0,0.5,165.76430551978422
178,0.3,1.2,0.2,0.2,0.4,15.830711165753158
179,0.3,0.6000000000000001,0.15,0.5,0.3,8.055061231536262
180,0.025,0.8,0.15,0.3,0.5,50.542377148101245
181,0.1,1.8,0.15,0.2,0.5,722.1632388604405
182,0.3,1.2,0.15,0.2,0.4,16.44023509116019
183,0.15,1.6,0.1,0.4,0.4,18.660123891701446
184,0.05,1.8,0.05,0.2,0.3,78.83250794998139
185,0.025,0.6000000000000001,0.05,0.4,0.1,0.5894958417323511
186,0.1,0.8,0.1,0.3,0.5,109.6593625043299
187,0.025,1.8,0.05,0.2,0.4,23.669677726736534
188,0.1,1.0,0.05,0.5,0.5,26.80917689386335
189,0.25,1.4,0.05,0.4,0.4,5.46523613650488
190,0.025,1.2,0.1,0.2,0.2,63.73489052721728
191,0.3,1.8,0.05,0.0,0.1,38.678952570245094
192,0.05,1.4,0.15,0.0,0.1,119.85103054475807
193,0.15,0.4,0.05,0.4,0.1,0.46741300778986666
194,0.2,0.6000000000000001,0.05,0.5,0.1,1.1043692656937572
195,0.3,1.0,0.2,0.5,0.5,9.592336604852784
196,0.05,0.6000000000000001,0.15,0.1,0.4,2.1562340506854256
197,0.1,2.0,0.2,0.3,0.4,20.599324420552385
198,0.3,0.8,0.15,0.0,0.3,285.0227278575195
199,0.2,1.6,0.2,0.1,0.2,21.585242895614456
200,0.025,1.4,0.15,0.1,0.1,83.7008924699781
201,0.05,1.2,0.15,0.2,0.3,173.19214066887497
202,0.1,1.6,0.05,0.2,0.4,100.3072420318817
203,0.1,1.0,0.1,0.4,0.2,42.80847657370742
204,0.15,0.2,0.15,0.4,0.2,0.11530854773366107
205,0.1,2.0,0.15,0.2,0.3,37.90975881980527
206,0.15,1.6,0.05,0.4,0.3,11.880777880697597
207,0.3,1.4,0.2,0.3,0.2,11.46029619069784
208,0.3,1.0,0.2,0.3,0.3,14.212258826502067
209,0.1,2.0,0.15,0.3,0.5,34.94234170606544
210,0.05,1.6,0.15,0.1,0.1,82.04920693184425
211,0.025,0.4,0.05,0.3,0.5,0.34865677023157443
212,0.025,0.8,0.05,0.3,0.3,53.28311336401966
213,0.25,0.6000000000000001,0.1,0.3,0.5,18.081485919623187
214,0.025,2.0,0.1,0.5,0.2,224.12820248511548
215,0.1,0.2,0.05,0.1,0.3,0.1259193883233704
216,0.15,0.2,0.15,0.5,0.3,0.13355324298527305
217,0.25,1.4,0.05,0.4,0.1,9.474775000580932
218,0.15,0.6000000000000001,0.15,0.5,0.1,2.2929496423048
219,0.3,0.8,0.1,0.5,0.4,8.63825438684449
220,0.15,1.8,0.15,0.4,0.5,11.980976983782892
221,0.2,1.8,0.05,0.4,0.4,5.197901985715817
222,0.1,1.0,0.1,0.0,0.4,108.49711392724349
223,0.1,0.2,0.2,0.2,0.3,0.13352272210262206
224,0.025,1.4,0.05,0.3,0.3,33.975670621347845
225,0.025,0.2,0.15,0.4,0.3,0.13828281075592758
226,0.2,0.2,0.15,0.2,0.2,0.09887575429621355
227,0.2,1.2,0.1,0.1,0.1,44.893248530889295
228,0.025,1.8,0.1,0.5,0.1,142.49339118204344
229,0.3,1.4,0.2,0.2,0.1,27.037411893169057
230,0.15,1.8,0.1,0.2,0.2,9.114665089222816
231,0.025,1.2,0.2,0.1,0.5,531.8843771855852
232,0.05,1.4,0.1,0.1,0.2,336.1241187437429
233,0.05,1.0,0.05,0.3,0.5,97.0203303879739
234,0.025,1.8,0.15,0.0,0.3,59.5141683459447
235,0.025,0.4,0.15,0.4,0.2,0.22333193903397783
236,0.025,1.4,0.15,0.4,0.2,604.2484570491572
237,0.2,0.8,0.05,0.3,0.2,29.12668871174855
238,0.2,2.0,0.1,0.5,0.4,6.831351924067494
239,0.2,1.8,0.1,0.2,0.5,13.080098831005937
240,0.15,2.0,0.1,0.0,0.1,14.516169646502297
241,0.1,1.8,0.05,0.1,0.2,70.96484854079792
242,0.2,1.2,0.1,0.5,0.5,11.183995720179135
243,0.25,0.4,0.1,0.1,0.4,0.6092859841762782
244,0.15,0.8,0.1,0.2,0.4,74.686270662139
245,0.2,1.8,0.2,0.4,0.2,18.458536200149656
246,0.1,1.2,0.15,0.0,0.1,88.60592163200391
247,0.3,1.6,0.2,0.2,0.3,14.819666468486892
248,0.05,1.4,0.05,0.5,0.3,25.111858212154942
249,0.15,1.2,0.2,0.3,0.4,40.93173426855693
250,0.25,1.4,0.1,0.5,0.2,6.087167898598448
251,0.1,1.0,0.1,0.2,0.3,392.5641775122291
252,0.025,1.4,0.2,0.0,0.4,140.88533157450294
253,0.1,1.2,0.05,0.5,0.2,12.329264085372726
254,0.3,1.2,0.1,0.5,0.3,8.40081745677069
255,0.1,1.0,0.05,0.2,0.2,57.81538007353032
256,0.3,1.6,0.05,0.4,0.3,6.314529183651297
257,0.025,0.2,0.15,0.3,0.2,0.13830166521532064
258,0.3,1.0,0.1,0.2,0.4,20.492298667888733
259,0.25,0.6000000000000001,0.1,0.5,0.2,13.387639845824316
260,0.25,0.8,0.2,0.5,0.3,14.383507795583757
261,0.1,1.2,0.2,0.4,0.1,27.48133948456881
262,0.2,1.4,0.2,0.5,0.4,13.3850798670003
263,0.15,1.0,0.2,0.3,0.4,41.158731224836956
264,0.15,1.4,0.15,0.4,0.3,19.671027295773527
265,0.15,1.4,0.05,0.4,0.3,28.35503585152979
266,0.3,1.2,0.05,0.5,0.1,8.630040011511092
267,0.3,0.2,0.1,0.1,0.1,0.1324343954112897
268,0.1,0.8,0.2,0.4,0.3,119.70969950530369
269,0.25,0.6000000000000001,0.05,0.1,0.5,69.0949047134538
270,0.025,0.6000000000000001,0.15,0.5,0.5,0.49920220814057825
271,0.05,0.8,0.05,0.2,0.1,517.2672686676602
272,0.15,2.0,0.05,0.0,0.4,10.920390351255561
273,0.025,1.0,0.1,0.3,0.2,149.3019562077585
